Approved Symbol	Synonyms	UniProt ID(supplied by UniProt)
CSPP1	FLJ22490, CSPP, JBTS21	Q1MSJ5
NUDT18	FLJ22494, MTH3	Q6ZVK8
IQCA1	FLJ22527, DRC11	Q86XH1
TMEM180	FLJ22529, bA18I14.8	Q14CX5
C11orf80	FLJ22531	Q8N6T0
C2orf47	DKFZp666A212, FLJ22555	Q8WWC4
KATNBL1	FLJ22557	Q9H079
OBFC1	FLJ22559, bA541N10.2	Q9H668
MRM1	FLJ22578	Q6IN84
BAIAP2L2	FLJ22582	Q6UXY1
TTC13	FLJ22584	Q8NBP0
NSUN3	FLJ22609	Q9H649
ZCCHC7	FLJ22611, AIR1	Q8N3Z6
ATHL1	FLJ22635	Q32M88
LINC00115	FLJ22639	
SPCS3	FLJ22649, SPC22/23, SPC3, YLR066W, PRO3567	P61009
RERGL	FLJ22655	Q9H628
PLBD1	FLJ22662	Q6P4A8
C2orf54	FLJ22671	Q08AI8
TMEM164	FLJ22679, RP13-360B22.2	Q5U3C3
FUZ	FLJ22688, Fy	Q9BT04
PIF1	FLJ22692	Q9H611
OCEL1	FLJ22709	Q9H607
FAR1	FLJ22728, SDR10E1	Q8WVX9
TEFM	FLJ22729	Q96QE5
FAM124B	FLJ22746	Q9H5Z6
DENND1C	FLJ22757	Q8IV53
HES3	bHLHb43	Q5TGS1
DEFB108P3		
METTL25	FLJ22789	Q8N6Q8
GOLGA2P10	FLJ22795, AgSK1	
TM4SF20	FLJ22800, TCCE518	Q53R12
NABP1	FLJ22833, DKFZp667M1322, FLJ13624, MGC111163, SSB2, hSSB2, SOSS-B2	Q96AH0
EFHC2	FLJ22843	Q5JST6
MYO19	FLJ22865	Q96H55
FAM96A	FLJ22875	Q9H5X1
SH3D21	FLJ22938	A4FU49
CSAG3		Q9Y5P2
DCAKD	FLJ22955	Q8WVC6
CXorf56	FLJ22965	Q9H5V9
TTLL7	FLJ23033	Q6ZT98
CEP97	FLJ23047	Q8IW35
ZBBX	FLJ23049	A8MT70
MAP3K19	FLJ23074	Q56UN5
WBP11P1	HsT3017	
WDR78	DIC4, FLJ23129	Q5VTH9
ZMYM1	FLJ23151, MYM	Q5SVZ6
C3orf52	FLJ23186, TTMP	Q5BVD1
NDNF	FLJ23191	Q8TB73
PDZD7	FLJ23209, bA108L7.8	Q9H5P4
C1orf54	FLJ23221	Q8WWF1
ZC3H12A	FLJ23231, MCPIP1	Q5D1E8
TMEM156	FLJ23235	Q8N614
LRRC31	FLJ23259	Q6UY01
TTI2	FLJ23263	Q6NXR4
FOXRED2	FLJ23322	Q8IWF2
NOL9	FLJ23323, NET6, Grc3	Q5SY16
MSANTD2	FLJ23342	Q6P1R3
POMK	FLJ23356, SgK196	Q9H5K3
TMEM62	FLJ23375	Q0P6H9
PIEZO2	FLJ23403, FLJ23144, HsT748, HsT771, FLJ34907	Q9H5I5
LRRC8E	FLJ23420	Q6NSJ5
ZNF768	FLJ23436	Q9H5H4
NARS2	FLJ23441, SLM5	Q96I59
PODNL1	FLJ23447, SLRR5B	Q6PEZ8
CAMKMT	CLNMT	Q7Z624
TNFAIP8L2	FLJ23467	Q6P589
ISOC2	FLJ23469	Q96AB3
ZNF671	FLJ23506	Q8TAW3
CCDC81	FLJ16339, FLJ23514	Q6ZN84
CCDC82	FLJ23518	Q8N4S0
PLEKHS1	FLJ23537, bA211N11.2	Q5SXH7
ARSJ	FLJ23548	Q5FYB0
MROH9	FLJ23550, ARMC11	Q5TGP6
C11orf63	FLJ23554	Q6NUN7
BBS10	FLJ23560	Q8TAM1
ELOVL7	FLJ23563	A1L3X0
SPEF2	KPL2, FLJ23577, CT122	Q9C093
C22orf46	FLJ23584, CTA-216E10.6	C9J442
CCDC102B	FLJ23594, HsT1731, AN	Q68D86
AGBL2	FLJ23598, CCP2	Q5U5Z8
SH3RF2	FLJ23654, RNF158, Hepp1, POSHER	Q8TEC5
C4orf26	FLJ23657	Q17RF5
TMEM51-AS1	FLJ23703	
LONRF1	FLJ23749, RNF191	Q17RB8
PXYLP1	FLJ23751	Q8TE99
ZNF585A	FLJ23765	Q6P3V2
FAM91A1	FLJ23790	Q658Y4
HEXDC	FLJ23825	Q8WVB3
CDHR3	FLJ44366, FLJ23834, CDH28	Q6ZTQ4
COMTD1	FLJ23841	Q86VU5
KANSL1L	FLJ23861, FLJ32349, MSL1v2, KIAA1267L	A0AUZ9
SLFNL1	FLJ23878	Q499Z3
B4GALNT4	FLJ25045, NGalNAc-T1	Q76KP1
MYRFL	FLJ25056, bcm1377	Q96LU7
IMMP1L	FLJ25059	Q96LU5
C20orf196	FLJ25067	Q8IYI0
C1orf74	FLJ25078	Q96LT6
SAMD8	FLJ25082	
ASPRV1	Taps, SASPase, FLJ25084	Q53RT3
C2orf48	FLJ25102	Q96LS8
ANKRD35	FLJ25124	Q8N283
C2orf50	FLJ25143	Q96LR7
CRHR1-IT1	FLJ25168	Q96LR1
NKX6-3	FLJ25169	A6NJ46
MSTO2P		
EFHB	FLJ25200, CFAP21	Q8N7U6
NXPE2	FLJ25224	Q96DL1
ZNF385B	FLJ25270	Q569K4
SRFBP1	FLJ25286, p49, STRAP, BUD22, Rlb1	Q8NEF9
LINC00905	FLJ25328	
FAM81B	FLJ25333	Q96LP2
PRSS54	FLJ25339, KLKBL4, CT67	Q6PEW0
ZNF534	FLJ25344	Q76KX8
SPOCD1	FLJ25348, PPP1R146	Q6ZMY3
BTBD16	FLJ25359, Em:AC061711.1	Q32M84
TEX37	FLJ25369, TSC21	Q96LM6
C4orf45	FLJ25371	Q96LM5
LINC00615	FLJ25378	Q96LM1
CCDC67	FLJ25393	Q05D60
C8orf48	FLJ25402	Q96LL4
C16orf92	FLJ25404	Q96LL3
EIF3CL		B5ME19
SEPT12	FLJ25410	Q8IYM1
SPATA32	FLJ25414, AEP2, VAD1.2	Q96LK8
ANKAR	FLJ25415	Q7Z5J8
DDIAS	FLJ38838, FLJ25416, noxin	Q8IXT1
ENTHD1	FLJ25421	Q8IYW4
RANBP3L	FLJ25422	Q86VV4
UBXN10	FLJ25429	Q96LJ8
TTC23L	FLJ25439	Q6PF05
CXorf58	FLJ25444	Q96LI9
CCDC13	FLJ25467	Q8IYE1
PXDNL	FLJ25471, PMR1	A1KZ92
AMER2	FLJ25477	Q8N7J2
HEPACAM	FLJ25530, hepaCAM, GLIALCAM	Q14CZ8
ANKRD13B	FLJ25555	Q86YJ7
LINC01465	FLJ25590	Q8N7H1
FAM187B	FLJ25660	Q17R55
POU5F2	SPRM-1, FLJ25680	Q8N7G0
MCMDC2	FLJ25692	Q4G0Z9
ZNF645	FLJ25735, HAKAIL, CT138	Q8N7E2
FMR1NB	FLJ25736, NY-SAR-35, CT37	Q8N0W7
PRTG	FLJ25756, IGDCC5	Q2VWP7
CCDC158	FLJ25770	Q5M9N0
C14orf177	FLJ25773	Q52M58
TRIML2	FLJ25801, SPRYD6	Q8N7C3
EFCAB3	FLJ25818	Q8N7B9
DAW1	FLJ25955, ODA16	Q8N136
IGSF10	FLJ25972, CMF608	Q6WRI0
C14orf178	FLJ25976	Q8N769
PAQR4	FLJ30002	Q8N4S7
SLAIN1	FLJ30046	Q8ND83
ARHGAP36	FLJ30058	Q6ZRI8
WWC2-AS2	FLJ30277	Q96NR7
TMEM182	FLJ30294	Q6ZP80
PTCHD1	FLJ30296	Q96NR3
C20orf166-AS1	FLJ30313	Q96NR2
TTC9B	FLJ30373	Q8N6N2
LYPD5	FLJ30469	Q6UWN5
AIFM3	AIFL, FLJ30473	Q96NN9
AQP4-AS1	FLJ30507	
HENMT1	FLJ30525, HEN1	Q5T8I9
MARVELD2	FLJ30532, TRIC	Q8N4S9
RFTN2	FLJ30574, Raftlin-2	Q52LD8
LINC01105	FLJ30594	
NADK2	FLJ30596, MNADK	Q4G0N4
SCLT1	hCAP-1A, FLJ30655	Q96NL6
LSM12	FLJ30656	Q3MHD2
ZNF599	FLJ30663	Q96NL3
TMEM74	FLJ30668, NET36	Q96NL1
LINC00889	FLJ30672	
HDX	FLJ30678	Q7Z353
FAM124A	FLJ30707	Q86V42
ZNF570	FLJ30791	Q96NI8
SLC16A14	FLJ30794, MCT14	Q7RTX9
TMEM155	FLJ30834	Q4W5P6
ZNF573	FLJ30921	Q86YE8
ZNF582	FLJ30927	Q96NG8
ZNF558	FLJ30932	Q96NG5
SNX32	FLJ30934	Q86XE0
GCOM1	FLJ30973, GRINL1A, MYZAP-POLR2M	
TTC30B	FLJ30990, fleer, IFT70	Q8N4P2
ZNF583	FLJ31030	Q96ND8
C1orf86	FLJ31031, FAAP20	Q6NZ36
DDX60L	FLJ31033	Q5H9U9
IKBIP	FLJ31051, IKIP	Q70UQ0
FCRLB	FLJ31052, FCRL2, FREB-2, FCRLY	Q6BAA4
ZNF547	FLJ31100	Q8IVP9
ZMAT2	FLJ31121, hSNU23, Snu23	Q96NC0
C3orf33	FLJ31139, AC3-33	Q6P1S2
FOPNL	DKFZp686N1651, FLJ31153, PHSECRG2, FOR20	Q96NB1
C9orf66	FLJ31158	Q5T8R8
TSNARE1	FLJ31164	Q96NA8
TMEM52B	FLJ31166	Q4KMG9
SLC47A2	FLJ31196, MATE2, MATE2-K	Q86VL8
FAAH2	RP11-479E16.1, FLJ31204, FAAH-2	Q6GMR7
SLC6A18	FLJ31236, Xtrp2	Q96N87
NUDT16	FLJ31265	Q96DE0
FERP1	FERps	
UROC1	FLJ31300, HMFN0320	Q96N76
KCTD18	FLJ31322, 6530404F10Rik, FLJ37818	Q6PI47
C18orf15	FLJ31338, HsT3231	Q96N68
ZNF578	FLJ31384	Q96N58
MANEAL	FLJ31434	Q5VSG8
CLHC1	FLJ31438	Q8NHS4
TRMT10B	FLJ31455, bA3J10.9	Q6PF06
LINC00052	FLJ31461	Q96N35
C12orf55	FLJ31514, FLJ44112	Q96N23
ZNF681	FLJ31526	Q96N22
ENTHD2	FLJ31528	Q96N21
CES5A	FLJ31547, CES4C1, CES5, CAUXIN	Q6NT32
JAKMIP1	MARLIN1, JAMIP1, Gababrbp, FLJ31564	Q96N16
ZDHHC8P1	FLJ31568	
PLCXD2	FLJ31579	Q0VAA5
SPATA33	FLJ31606	Q96N06
RASEF	FLJ31614	Q8IZ41
YTHDF3	FLJ31657	Q7Z739
FAM218A	FLJ31659	Q96MZ4
CHCHD4	FLJ31709, TIMM40, MIA40	Q8N4Q1
VSTM4	FLJ31737	Q8IW00
CCDC43	FLJ31795	Q96MW1
C7orf60	DKFZp762M126, FLJ31818	Q1RMZ1
TMEM56	FLJ31842	Q96MV1
CCDC122	FLJ31846	Q5T0U0
ZNF778	FLJ31875	Q96MU6
C17orf77	FLJ31882	Q96MU5
SLFN13	FLJ31952	Q68D06
GLT1D1	FLJ31978	Q96MS3
ZNF560	FLJ31986	Q96MR9
WDR65	FLJ32000	Q96MR6
CNST	FLJ32001, PPP1R64	Q6PJW8
VWCE	URG11, FLJ32009, VWC1	Q96DN2
KNCN	FLJ32011, KINO, L5	A6PVL3
TMEM154	FLJ32028	Q6P9G4
SATB2-AS1		
AMZ2P1	FLJ32065	
TCEANC2	FLJ32112	Q96MN5
ERP27	FLJ32115, ERp27, PDIA8	Q96DN0
ZNF785	FLJ32130	A8K8V0
ZNF513	FLJ32203, RP58	Q8N8E2
ERVV-1	FLJ32214, HERV-V1, ENVV1	B6SEH8
SSTR5-AS1		
AGBL1	FLJ32310, CCP4	Q96MI9
PUS10	FLJ32312	Q3MIT2
PPM1M	PP2Ceta, FLJ32332	
DUOXA1	FLJ32334, NUMBIP, NIP, mol	Q1HG43
CWF19L2	FLJ32343	Q2TBE0
FAM109A	FLJ32356	Q8N4B1
TMEM68	FLJ32370	Q96MH6
HSPB6	FLJ32389, Hsp20, PPP1R91	O14558
BROX	FLJ32421	Q5VW32
NSMCE2	FLJ32440, MMS21, NSE2, ZMIZ7	Q96MF7
CCDC140	FLJ32447	Q96MF4
COQ10A	FLJ32452	Q96MF6
CYB5D1	FLJ32499	Q6P9G0
C12orf66	FLJ32549	Q96MD2
PM20D1	FLJ32569, Cps1	Q6GTS8
LINC00896	FLJ32575	
CCDC155	FLJ32658, KASH5	Q8N6L0
LOXHD1	FLJ32670, LH2D1	Q8IVV2
HARBI1	FLJ32675	Q96MB7
ERICH6B	FLJ32682	Q5W0A0
LOH12CR2	LOH2CR12	
C16orf46	FLJ32702	Q6P387
AK8	FLJ32704	Q96MA6
HGSNAT	FLJ32731, HGNAT	Q68CP4
CCDC42	FLJ32734, CCDC42A	Q96M95
CCDC11	FLJ32743	Q96M91
CCDC138	FLJ32745	Q96M89
DNHD1	FLJ32752, FLJ46184, FLJ35709, DKFZp686J0796	Q96M86
CCDC7	FLJ32762, FLJ13031	Q96M83
FER1L6-AS2	FLJ32770	Q96M78
C9orf84	FLJ32779	Q5VXU9
TTC16	FLJ32780	Q8NEE8
RIBC1	FLJ32783	Q8N443
VWA5B1	FLJ32784	Q5TIE3
DCST1	FLJ32785	Q5T197
FAM71A	FLJ32796	Q8IYT1
MPP7	FLJ32798	Q5T2T1
FAM227B	FLJ32800	Q96M60
ARHGAP42	FLJ32810, GRAF3	A6NI28
CCDC27	FLJ32825	Q2M243
DFNY1		
HEATR9	FLJ32830	A2RTY3
C15orf32	FLJ32831	Q32M92
NBPF4	FLJ32833	Q96M43
DZIP1L	FLJ32844, DZIP2	Q8IYY4
CCDC33	FLJ32855, CT61	Q8N5R6
C3orf30	FLJ32859	Q96M34
TEKT5	FLJ32871, CT149	Q96M29
TSGA10IP	FLJ32880, FAM161C	Q3SY00
LRRC71	FLJ32884	Q8N4P6
LINC00477	FLJ32894, FAM191B	Q96M19
HYLS1	FLJ32915	Q96M11
ZFYVE27	FLJ32919, SPG33	Q5T4F4
CCDC114	FLJ32926, CILD20	Q96M63
ZNF548	FLJ32932	Q8NEK5
DCST2	FLJ32934	Q5T1A1
C10orf90	FLJ32938, bA422P15.2, FATS	Q96M02
AXDND1	FLJ32940	Q5T1B0
GTSF1	FLJ32942	Q8WW33
RMDN2	FLJ32954, RMD2	Q96LZ7
WDR64	FLJ32978	B1ANS9
LYSMD4	FLJ33008	Q5XG99
TMEM71	FLJ33069	Q6P5X7
ZNF597	FLJ33071	Q96LX8
CCDC17	FLJ33084	Q96LX7
PRIMPOL	FLJ33167	Q96LW4
KY	FLJ33207	Q8NBH2
TMEM92	FLJ33318	Q6UXU6
UNC80	FLJ33496, KIAA1843, UNC-80	Q8N2C7
MUM1L1	FLJ33516	Q5H9M0
RTP5	FLJ33590, Z3CXXC5	Q14D33
LINC00269	FLJ33610	Q8N2A0
WDR49	FLJ33620	Q8IV35
GAPT	FLJ33641	Q8N292
PRRT3	FLJ33674	Q5FWE3
C20orf203	FLJ33706	Q8NBC4
LY86-AS1	FLJ33708	
DOK7	FLJ33718, FLJ39137, Dok-7	Q18PE1
TTC39C	FLJ33761, HsT2697	Q8N584
LINC00277	FLJ33768	
KLHL35	FLJ33790	Q6PF15
C12orf36	FLJ33810	Q495D7
CCDC117	FLJ33814	Q8IWD4
WDR81	FLJ33817, PPP1R166	Q562E7
C20orf197	FLJ33860	Q8N268
EP400NL	FLJ33915	Q6ZTU2
ARHGEF19	FLJ33962, WGEF	Q8IW93
WDR45BP1		
METTL15	FLJ33979	A6NJ78
SLC35G1	FLJ33990, C10orf60	Q2M3R5
HECTD4	FLJ34154, KIAA0614	Q9Y4D8
ANKRD52	FLJ34236, PP6-ARS-C	Q8NB46
PDDC1	FLJ34283	Q8NB37
MLKL	FLJ34389	Q8NB16
NUDT17	FLJ34433	P0C025
CRIPAK	FLJ34443	Q8N1N5
SPAG17	FLJ34497, PF6, RP4-776P7.2, CT143	Q6Q759
TMEM17	FLJ34583	Q86X19
KDF1	FLJ34633, RP11-344H11.3	Q8NAX2
UGT3A1	FLJ34658	Q6NUS8
LINC00324	FLJ34790, MGC104931	
ZNF554	FLJ34817	Q86TJ5
C5orf17	FLJ34836	Q8NAS9
ZNF549	FLJ34917	Q6P9A3
SLFN11	FLJ34922	Q7Z7L1
KLHL34	FLJ34960, RP11-450P7.3	Q8N239
DENND6A	FLJ34969, AFI1A	Q8IWF6
ZBTB38	FLJ35036, CIBZ, ZNF921, PPP1R171	Q8NAP3
SWSAP1	FLJ35119, ZSWIM7AP1, SWS1AP1	Q6NVH7
XXYLT1	FLJ35155	Q8NBI6
ENDOV	FLJ35220	Q8N8Q3
SSC5D	FLJ35258	A1L4H1
SDE2	FLJ35382	Q6IQ49
LINC00955	FLJ35424	
HLA-F-AS1		
ZNF579	FLJ35453	Q8NAF0
C1orf180	FLJ35487	Q8NAE3
BBS12	FLJ35630, FLJ41559	Q6ZW61
C16orf54	FLJ35681	Q6UWD8
FER1L6-AS1	FLJ35721	Q8NA97
TRMT44	FLJ35725, TRM44	Q8IYL2
CCDC185	FLJ35728	Q8N715
MARCH10	FLJ35757, MARCH-X	Q8NA82
MFSD6L	FLJ35773	Q8IWD5
DCAF4L2		Q8NA75
POC5	FLJ35779, MGC120442, MGC120443, MGC120444, hPOC5	Q8NA72
FAM47B	FLJ35782	Q8NA70
GOLGA8I	FLJ35785	A6NC78
RNF168	FLJ35794	Q8IYW5
MORC2-AS1	FLJ35801	
CNBD1	FLJ35802	Q8NA66
TTLL6	FLJ35808	Q8N841
C12orf50	FLJ35821	Q8NA57
EML3	FLJ35827, ELP95	Q32P44
FNDC7	FLJ35838	Q5VTL7
CCDC63	ODA5, FLJ35843	Q8NA47
C17orf104	FLJ35848	A2RUB1
SPATA31E1	FLJ35866	Q6ZUB1
ZSCAN29	FLJ35867, Zfp690	Q8IWY8
COL6A5	FLJ35880, VWA4	A8TX70
CCDC79	FLJ35894	Q8NA31
CCDC147	FLJ35908, bA554P13.1	Q5T655
L3MBTL4	FLJ35936, HsT1031	Q8NA19
MIER3	FLJ35954, DKFZp686L09111, DKFZp781I1119	Q7Z3K6
MYOM3	FLJ35961	Q5VTT5
RUSC1-AS1	FLJ35976	Q66K80
PNMA6B		P0C5W0
LMNTD1	FLJ36004, Pas1c1	Q8N9Z9
CFAP43	FLJ36006, bA373N18.2, FLJ22944	Q8NDM7
CCDC71L	FLJ36031	Q8N9Z2
RIIAD1	FLJ36032	A6NNX1
ZNF610	FLJ36040	Q8N9Z0
CCDC116	FLJ36046	Q8IYX3
MAMSTR	MASTR, FLJ36070	Q6ZN01
CEP120	FLJ36090	Q8N960
MRGPRG-AS1	FLJ36102, HSD-40	Q2M3A8
TTLL10	FLJ36119	Q6ZVT0
GOLGA6L2	CT105, FLJ36144	Q8N9W4
WDSUB1	UBOX6, FLJ36175	Q8N9V3
TRIML1	FLJ36180, RNF209	Q8N9V2
OOSP2	FLJ36198	Q86WS3
NHLRC4		P0CG21
SYNE4	FLJ36445, Nesprin-4, Nesp4	Q8N205
CCDC144B	FLJ36492	Q3MJ40
CLEC9A	UNQ9341, HEEE9341	Q6UXN8
NKAPP1	FLJ36576	Q8N9T2
KRT40	FLJ36600, KA36	Q6A162
CHDC2	FLJ36601, RP13-11B7.1	Q8N9S7
SCAI	FLJ36664, NET40	Q8N9R8
ENTPD3-AS1	FLJ36665	
C19orf25	FLJ36666	Q9UFG5
LINC00304	FLJ36701	Q8N9R0
AFAP1L1	FLJ36748	Q8TED9
PROX2	FLJ36749	Q3B8N5
SREK1IP1	FLJ36754, P18SRP	Q8N9Q2
FAM131C	FLJ36766	Q96AQ9
C9orf163	FLJ36779	Q8N9P6
LRRC57	FLJ36812	Q8N9N7
ZNF660	FLJ36870	Q6AZW8
PATL1	FLJ36874, Pat1b	Q86TB9
TMEM102	FLJ36878	Q8N9M5
C19orf47	FLJ36888	Q8N9M1
ANKS6	FLJ36928, NPHP16	Q68DC2
KIAA1456	FLJ36980	Q8N9K7
ZNF565	FLJ36991	Q8N9K5
FAM132B	FLJ37034, CTRP15, C1QTNF15	Q4G0M1
SRRM3	FLJ37078	A6NNA2
C1orf127	FLJ37118	Q8N9H9
C8orf31	FLJ37131	Q8N9H6
KIF19	FLJ37300, KIF19A	Q2TAC6
HECTD2	FLJ37306	Q5U5R9
LINC00282	FLJ37307	
FBLN7	FLJ37440, TM14	Q53RD9
CES4A	FLJ37464	Q5XG92
NAT8L	FLJ37478, Hcml3	Q8N9F0
C5orf64	FLJ37543	Q2M2E5
ZNF781	FLJ37549	Q8N8C0
C5orf24	FLJ37562	Q7Z6I8
FAM133A	RP1-32F7.2, FLJ37659, CT115	Q8N9E0
RPL34-AS1	FLJ37673, RP11-462C24.1	
IGSF22	FLJ37794	Q8N9C0
ANKRD42	FLJ37874, SARP, PPP1R79	Q8N9B4
TYW5	FLJ37953	A2RUC4
THEM5	FLJ37964	Q8N1Q8
LCLAT1	FLJ37965, ALCAT1, AGPAT8	Q6UWP7
CCDC88B	FLJ37970, BRLZ, HkRP3, FLJ00354, GIPIE	A6NC98
ZNF572	FLJ38002	Q7Z3I7
CNEP1R1	FLJ38101, NEP1-R1	Q8N9A8
SAP30L-AS1	FLJ38109, GALNT10-AS1	
CCDC89	FLJ38159	Q8N998
C15orf27	FLJ38190	Q2M3C6
PRAMEF15	OTTHUMG00000007921	Q5VWM5
ZNF776	FLJ38288	Q68DI1
ANKFN1	FLJ38335	Q8N957
GPATCH11	FLJ38348, CENPY, CENP-Y	Q8N954
LINC01106	FLJ38359	
AMER3	FLJ38377	Q8N944
FAM98B	FLJ38426	Q52LJ0
DFNB57		
TMEM192	FLJ38482	Q8IY95
PAPD4	FLJ38499, GLD2, TUT2	Q6PIY7
ALDH1L2	FLJ38508, mtFDH	Q3SY69
GAGE12B	OTTHUMG00000024142	A1L429
DAND5	FLJ38607, CKTSF1B3, DANTE, GREM3, CER2, DTE	Q8N907
LSMEM2	FLJ38608	Q8N112
C15orf26	FLJ38615	Q6P656
RNF185	FLJ38628	Q96GF1
C12orf65	FLJ38663, SPG55	Q9H3J6
HNF1A-AS1	FLJ38690	
ZFP41	FLJ38705, FLJ00028, ZNF753	Q8N8Y5
MAB21L3	FLJ38716	Q8N8X9
GOLGA2P11	FLJ38723	
LACC1	FLJ38725	Q8IV20
WDR72	FLJ38736	Q3MJ13
KLHDC7A	FLJ38753	Q5VTJ3
TMEM105	FLJ38792	Q8N8V8
ANKS4B	FLJ38819, HARP	Q8N8V4
EID2B	EID-3, FLJ38944	Q96D98
ARL14EP	FLJ38968, ARF7EP	Q8N8R7
C2orf69	FLJ38973	Q8N8R5
C1orf216	FLJ38984	Q8TAB5
COX18	FLJ38991	Q8N8Q8
CNIH3	FLJ38993, CNIH-3	Q8TBE1
CYB561D1	FLJ39035, FLJ44753	Q8N8Q1
C11orf44	FLJ39058	Q8N8P7
DYNAP	FLJ39106	Q8N1N2
RPTN	FLJ39117	Q6XPR3
EGFLAM	FLJ39155, AGRINL, AGRNL, PIKA	Q63HQ2
RNF152	FLJ39176	Q8N8N0
ANKLE1	FLJ39369, LEMD6	Q8NAG6
C4orf32	FLJ39370	Q8N8J7
RILPL1	FLJ39378	Q5EBL4
LINC00482	FLJ39421	Q8N8I6
HMGN2P46	FLJ39426, D-PCa-2	Q86SG4
SPTY2D1	FLJ39441, DKFZp686I068	Q68D10
CYP4F22	FLJ39501	Q6NT55
CCDC141	FLJ39502, CAMDI	Q6ZP82
KIF9-AS1	FLJ39534	
ERICH5	FLJ39553	Q6P6B1
YIPF7	FLJ39576, FinGER9	Q8N8F6
MPV17L	FLJ39599, MLPH1, MLPH2, MPV17L1	Q2QL34
NKAIN3	FLJ39630	Q8N8D7
LINC00921	FLJ39639	
C17orf78	FLJ39647	Q8N4C9
TAPT1-AS1	FLJ39653	
CCDC150	FLJ39660	Q8NCX0
FAM169B	FLJ39743, KIAA0888L	Q8N8A8
SLC38A11	FLJ39822, AVT2	Q08AI6
AMER1	RP11-403E24.2, FLJ39827, WTX	Q5JTC6
TIGIT	FLJ39873, DKFZp667A205	Q495A1
RGS21		Q2M5E4
ODF3L2	FLJ40059	Q3SX64
CCDC37	FLJ40083	Q494V2
CCDC38	FLJ40089	Q502W7
C17orf47	FLJ40121	Q8NEP4
PPM1N	FLJ40125	Q8N819
C12orf40	FLJ40126	Q86WS4
CNTD1	FLJ40137	Q8N815
SLC35G3	FLJ40154	Q8N808
C2orf61	FLJ40172	Q8N801
CCDC168	FLJ40176	Q8NDH2
ANKRD31	FLJ40191	Q8N7Z5
C1orf177	FLJ40201	Q3ZCV2
KIRREL3-AS3	FLJ40224	Q8N7Y1
SIGLECL1	FLJ40235	Q8N7X8
MROH2B	DKFZp781F0822, FLJ40243	Q7Z745
TBC1D28	FLJ40244	Q2M2D7
RBMXL3	FLJ40249	Q8N7X1
C2orf73	FLJ40298	Q8N5S3
HSF5	FLJ40311	Q4G112
LINC00469	FLJ40319	Q8N7U9
EFCAB13	FLJ40342	Q8IY85
LINC00303	FLJ40343	Q3SY05
CCDC105	FLJ40365	Q8IYK2
CCNYL1	FLJ40432	Q8N7R7
SLC25A3P1	FLJ40434	
STK33P1	STK33ps	
KRT18P55		
LINC00528	FLJ40542	Q8N1L1
PARP15	FLJ40597, pART7	Q460N3
CKAP2L	FLJ40629	Q8IYA6
FAM115C	FLJ40722	A6NFQ2
PLD5	FLJ40773	Q8N7P1
GEN1	FLJ40869, Gen	Q17RS7
TCTEX1D1	FLJ40873	Q8N7M0
FAM216B	FLJ40919	Q8N7L0
LINC-PINT	FLJ43663, PINT, LincRNA-Pint	
RNF19B	FLJ90005	Q6ZMZ0
TAPT1	FLJ90013	Q6NXT6
FAM43A	FLJ90022	Q8N2R8
ZNF718	FLJ90036	Q3SXZ3
TMEM86A	FLJ90119	Q8N2M4
GGT6	FLJ90165	Q6P531
APCDD1L	FLJ90166	Q8NCL9
TPRN	FLJ90254	Q4KMQ1
ZNF791	FLJ90396	Q3KP31
RGMB	FLJ90406, DRAGON	Q6NW40
ZNF680	FLJ90430	Q8NEM1
LINC00272	RP1-223H12.3	
TMTC3	FLJ90492, SMILE	Q6ZXV5
CCDC96	FLJ90575	Q2M329
OTOGL	FLJ90579	Q3ZCN5
RELL2	FLJ90583	Q8NC24
INO80E	FLJ90652	Q8NBZ0
PRSS36	FLJ90661	Q5K4E3
SLC38A9	FLJ90709	Q8NBW4
HTRA4	FLJ90724	P83105
ZNF619	FLJ90764	Q8N2I2
ZCCHC24	FLJ90798, Z3CXXC8	Q8N2G6
TMEM145	FLJ90805	Q8NBT3
SPC24	FLJ90806	Q8NBT2
PUSL1	FLJ90811	Q8N0Z8
C11orf72	FLJ90834	Q8NBR9
N4BP2L2	CG005, PFAAP5	Q92802
SMAGP	MGC149453, MGC149454, hSMAGP	Q0VAQ4
DUS3L	DUS3, FLJ13896	Q96G46
PARP6	pART17	Q2NL67
ERCC6L2	FLJ37706, RAD26L	Q5T890
NCLN	NICALIN, NET59	Q969V3
WDR93		Q6P2C0
ABHD17C		Q6PCB6
JAGN1	GL009, FLJ14602	Q8N5M9
FOXRED1	H17	Q96CU9
CDV3	H41	Q9UKY7
C15orf41	HH114, MGC11326, FLJ22851	Q9Y2V0
GSTTP1	HS322B1A	
C22orf31	HS747E2A, bK747E2.1	O95567
TMA7	HSPC016	Q9Y2S6
C9orf114	HSPC109, CENP-32	Q5T280
NOP16	HSPC111, HSPC185, LOC51491	Q9Y3C1
RTCB	HSPC117, FAAP	Q9Y3I0
CTDSPL2	HSPC129, FLJ10523	Q05D32
TRIAP1	P53CSV, WF-1, HSPC132, p53CSV, MDM35	O43715
C11orf73	HSPC138, HSPC179, Hikeshi, OPI10	Q53FT3
CWC15	C11orf5, HSPC148, Cwf15, AD002	Q9P013
TRMT112	HSPC152, HSPC170, TRM112, TRMT11-2	Q9UI30
UFC1	HSPC155	Q9Y3C8
CHMP5	HSPC177, CGI-34, Vps60	Q9NZZ3
